Year,Country,Technology Id,Technology,Subsector,Sector,CO2_ktCO2,Unit,CH4_ktCH4,Unit ,N2O_ktN2O,Unit  ,CO2_GtCO2e,Unit   ,CH4_GtCO2e,Unit    ,N2O_GtCO2e,Unit     ,GHGs_GtCO2e,Unit      ,Percentage
2018,Armenia,1A1a_Electricity-public,Technology Electricity Public,Power and Heat,Energy production,313.384624062334,ktCO2,0.0205298758255696,ktCH4,0.0017709777197508398,ktN2O,0.00031338462406233403,GtCO2e,4.3112739233696155e-07,GtCO2e,5.490030931227603e-07,GtCO2e,0.00031436475454779374,GtCO2e,5.5
2018,Armenia,1A1a_Heat-production,Technology Heat Production,Power and Heat,Energy production,187.478770569234,ktCO2,0.000360491011862383,ktCH4,0.000349165545770382,ktN2O,0.000187478770569234,GtCO2e,7.570311249110043e-09,GtCO2e,1.0824131918881842e-07,GtCO2e,0.00018759458219967193,GtCO2e,3.28
2018,Armenia,1A1a_Electricity-autoproducer,Technology Electricity Autoproducer,Industrial Combustion,Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
2018,Armenia,1A1bc_Other-transformation,Technology Other Transformation,Industrial Combustion,Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
2018,Armenia,1B1_Fugitive-solid-fuels,Technology Fugitive Solid Fuels,Fugitive Energy Emissions,Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
2018,Armenia,1B2_Fugitive-petr,Technology Fugitive Petr,Fugitive Energy Emissions,Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
2018,Armenia,1B2b_Fugitive-NG-distr,Technology Fugitive NG Distr,Fugitive Energy Emissions,Energy production,0.0,ktCO2,15.61951756,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.00032800986875999996,GtCO2e,0.0,GtCO2e,0.00032800986875999996,GtCO2e,5.74
2018,Armenia,1B2b_Fugitive-NG-prod,Technology Fugitive NG Prod,Fugitive Energy Emissions,Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
2018,Armenia,1B2d_Fugitive-other-energy,Technology Fugitive Other Energy,Fugitive Energy Emissions,Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
2018,Armenia,7A_Fossil-fuel-fires,Technology Fossil Fuel Fires,Fosil Fuel Files,Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
