Country,Subsector,CO2_GtCO2e,CH4_GtCO2e,N2O_GtCO2e,Unit,Percentage,Percentage ,Percentage  ,
Africa,Subsector Power and Heat,0.19338165360170864,0.00011592091753043684,0.0005463909335621115,GtCO2e,29.4,0.04,1.02,%
Africa,Subsector Industrial Combustion,0.05116598588296093,4.465440850196009e-05,0.0001330172537486133,GtCO2e,7.78,0.01,0.25,%
Africa,Subsector Fugitive Energy Emissions,0.023625091772792376,0.10549274930311134,0.00020608171384020542,GtCO2e,3.59,34.35,0.38,%
Africa,Subsector Fosil Fuel Files,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Africa,Subsector Commercial,0.010688625499826862,0.0003658864959699464,0.0005051225885031516,GtCO2e,1.63,0.12,0.94,%
Africa,Subsector Residential,0.06288175874377896,0.09021360194245487,0.01235326078823188,GtCO2e,9.56,29.38,23.04,%
Africa,Subsector Agriculture/Forestry,0.014956746833505934,0.00037410581097032183,0.0002447000667920116,GtCO2e,2.27,0.12,0.46,%
Africa,Subsector Other Unspecified,0.009290402325008638,4.9822031353725685e-05,7.29785217976792e-05,GtCO2e,1.41,0.02,0.14,%
Africa,Subsector Aviation,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Africa,Subsector Road,0.24350128765437634,0.0009615868598373259,0.0014794636091924568,GtCO2e,37.02,0.31,2.76,%
Africa,Subsector International Shipping,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Africa,Subsector Other Surface Transport,0.0014040647557233316,3.71689281933248e-06,5.0735845620146396e-05,GtCO2e,0.21,0.0,0.09,%
Africa,Subsector Industrial Combustion ,0.00918676386478649,6.716093457515717e-05,9.100263330203441e-05,GtCO2e,1.4,0.02,0.17,%
Africa,Subsector Minerals,0.019805056115440187,0.0,0.0,GtCO2e,3.01,0.0,0.0,%
Africa,Subsector Chemical Industry,0.004916107252869242,4.233685478795145e-05,0.0028479357603652805,GtCO2e,0.75,0.01,5.31,%
Africa,Subsector Metals Industry,0.010727034605972019,0.00014760643743809274,0.0,GtCO2e,1.63,0.05,0.0,%
Africa,Subsector Solvents,0.0013345266870519105,0.0,0.00029956664199273076,GtCO2e,0.2,0.0,0.56,%
Africa,Subsector Pulp and Paper Food Beverage Wood,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Africa,Subsector Other Non Combustion,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Africa,Subsector Agriculture Non Combustion,0.0,0.060929244973333366,0.032694203968088545,GtCO2e,0.0,19.84,60.99,%
Africa,Subsector Waste,0.0008930065946051946,0.04827544579068164,0.002085318988502525,GtCO2e,0.14,15.72,3.89,%
