Year,Country,Technology Id,Technology,Subsector,Sector,CO2_ktCO2,Unit,CH4_ktCH4,Unit ,N2O_ktN2O,Unit  ,CO2_GtCO2e,Unit   ,CH4_GtCO2e,Unit    ,N2O_GtCO2e,Unit     ,GHGs_GtCO2e,Unit      ,Percentage
2000,Africa,1A1a_Electricity-public,Technology Electricity Public,Subsector Power and Heat,Sector Energy production,280414.5654503185,ktCO2,4.714838380470891,ktCH4,3.2038233638876723,ktN2O,0.2804145654503185,GtCO2e,0.00013201547465318495,GtCO2e,0.0008490131914302331,GtCO2e,0.2813955941164019,GtCO2e,12.76
2000,Africa,1A1a_Heat-production,Technology Heat Production,Subsector Power and Heat,Sector Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
2000,Africa,1A1a_Electricity-autoproducer,Technology Electricity Autoproducer,Subsector Industrial Combustion,Sector Energy production,14716.710088558739,ktCO2,0.5714203200499883,ktCH4,0.2423289500434846,ktN2O,0.01471671008855874,GtCO2e,1.5999768961399673e-05,GtCO2e,6.421717176152342e-05,GtCO2e,0.014796927029281662,GtCO2e,0.67
2000,Africa,1A1bc_Other-transformation,Technology Other Transformation,Subsector Industrial Combustion,Sector Energy production,57530.34501520518,ktCO2,1.53179194,ktCH4,0.10766439999999991,ktN2O,0.05753034501520518,GtCO2e,4.2890174319999995e-05,GtCO2e,2.8531065999999975e-05,GtCO2e,0.05760176625552518,GtCO2e,2.61
2000,Africa,1B1_Fugitive-solid-fuels,Technology Fugitive Solid Fuels,Subsector Fugitive Energy Emissions,Sector Energy production,50793.9723999999,ktCO2,2984.984680802226,ktCH4,2.596061595000001,ktN2O,0.050793972399999894,GtCO2e,0.08357957106246233,GtCO2e,0.0006879563226750003,GtCO2e,0.1350614997851372,GtCO2e,6.13
2000,Africa,1B2_Fugitive-petr,Technology Fugitive Petr,Subsector Fugitive Energy Emissions,Sector Energy production,115309.61565577707,ktCO2,14261.48227725855,ktCH4,0.03515133992353446,ktN2O,0.11530961565577708,GtCO2e,0.3993215037632394,GtCO2e,9.315105079736633e-06,GtCO2e,0.5146404345240962,GtCO2e,23.34
2000,Africa,1B2b_Fugitive-NG-distr,Technology Fugitive NG Distr,Subsector Fugitive Energy Emissions,Sector Energy production,0.0,ktCO2,23.38604688123781,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0006548093126746586,GtCO2e,0.0,GtCO2e,0.0006548093126746586,GtCO2e,0.03
2000,Africa,1B2b_Fugitive-NG-prod,Technology Fugitive NG Prod,Subsector Fugitive Energy Emissions,Sector Energy production,0.0,ktCO2,812.0746679530598,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.022738090702685676,GtCO2e,0.0,GtCO2e,0.022738090702685676,GtCO2e,1.03
2000,Africa,1B2d_Fugitive-other-energy,Technology Fugitive Other Energy,Subsector Fugitive Energy Emissions,Sector Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
2000,Africa,7A_Fossil-fuel-fires,Technology Fossil Fuel Fires,Subsector Fosil Fuel Files,Sector Energy production,0.0,ktCO2,0.0,ktCH4,0.0,ktN2O,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0,GtCO2e,0.0
